Date,Study,Result,Significant Factors,Factors Described,Effect,Study Type,Measure of Evidence
2020-04-09,Climatic influences on the worldwide spread of SARS-CoV-2 (medrxiv),Yes,Climate,Climate,asynchronous seasonal global outbreaks are expected,Simulation,Data from WHO on infected patients worldwide
2020-04-07,Susceptible supply limits the role of climate in the COVID-19 pandemic (medrxiv),No,Specific Humidity,"Specific Humidity, Climate",summer temperatures will not substantially limit pandemic growth.,Simulation,Data from US Census Regions
2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020 (medrxiv)",Yes,"Temperature, Solar Radiation","Population Density, Temperature, Solar Radiation and Precipitation","brighter, warmer and drier conditions were associated with lower incidence",Eco-epidemiological Study,18069 cases
2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool (medrxiv),Yes,Temperature,"Temperature, Humidity, Rainfall, Wind Speed",negative correlation between warmer climate and COVID-19 spread,Retrospective Study,20 countries
2020-03-30,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal (medrxiv),Yes,Temperature,"Temperature, Precipitation Humidity","1C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]",Simulation,166686 cases
2020-03-30,Temperature dependence of COVID-19 transmission (medrxiv),Yes,Average Temperature,Average Temperature,Decreased virus growth rate with increased temperature,Retrospective Study,130 countries
2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics (medrxiv),Yes,"Temperature, Humidity","Temperature, Humidity",Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe.,Ecological Regression,121 countries
2020-03-27,Modeling the Corona Virus Outbreak in IRAN (medrxiv),Inconclusive,Temperature,Temperature,The available data is too small to identify seasonal patterns and make predictable variation in value,Retrospective Study,"19,661 cases"
2020-03-24,Social distancing strategies for curbing the COVID-19 epidemic (medrxiv),Yes,Seasonal Meteorological Factors,Season,summer months will have lower peaks than winter outbreaks,Simulation,Data from the US
2020-03-20,"Preliminary evidence that higher temperatures are associated with lower incidence of COVID-19, for cases reported globally up to 29th February 2020 (medrxiv)",Yes,Temperature,Temperature,Higher average temperature was strongly associated with lower COVID-19 incidence for temperatures of 1Â°C and higher,Retrospective study,13479 cases
2020-03-16,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate (medrxiv),Yes,"Temperature, Evapotranspiration","Temperature, Precipitation Sum, Surface Shortwave Radiation, Actual Evapotranspiration","Mean temperature and evapotranspiration (a surrogate of humidity) are the predictors best explaining the distribution of outbreaks of the virus, with areas either too cold or too hot, or too wet, having lower exposure to outbreaks",Simulation,200 ecological niche models
2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period (medrxiv),Yes,Temperature,Absolute humidity and temperature,Determinant on if immunity to SARS-COV-2 is permanent,Simulation,Data from the United States
2020-02-26,Application of the ARIMA model on the COVID-2019 epidemic dataset (Data Brief),No,Seasonality,Seasonality,Prevalence and Incidence of COVID19 is not influenced by seasonality,Simulation,Data from John Hopkins University
2020-02-17,Potential impact of seasonal forcing on a SARS-CoV-2 pandemic (medrxiv),Yes,Temperate Regions,Temperate Regions,Seasonal variation might slow down the virus but seasonality alone is unlikely to end the SARS-COV-2 spread,Simulation,Data from Sweden
2020-02-14,A spatial model of CoVID-19 transmission in England and Wales: early spread and peak timing (medrxiv),Yes,Seasonal Meteorological Factors,Seasonal Terms,Peak in Winter Months,Simulation,8570 Electoral wards in the UK
